CET,Category ,Chance of Admit ,University Rating
89.95,1,0.92,5
89.95,1,0.76,5
89.95,1,0.72,3
89.95,1,0.8,3
87.8,2,0.65,2
87.8,2,0.9,5
87.8,2,0.75,3
89.95,1,0.68,2
89.95,1,0.5,1
89.95,1,0.45,3
87.8,2,0.52,3
87.8,2,0.84,4
87.8,2,0.78,4
87.8,2,0.62,3
87.8,2,0.61,3
85.56,3,0.54,3
87.8,2,0.66,3
89.95,1,0.65,3
89.95,1,0.63,3
89.95,1,0.62,3
85.56,3,0.64,3
87.8,2,0.7,4
87.8,2,0.94,5
87.8,2,0.95,5
89.95,1,0.97,5
87.8,2,0.94,5
89.95,1,0.76,5
89.95,1,0.44,2
89.95,1,0.46,1
89.95,1,0.54,2
89.95,1,0.65,2
81.82,4,0.74,3
87.8,2,0.91,4
87.8,2,0.9,5
84.61,3,0.94,5
87.8,2,0.88,5
87.8,2,0.64,2
87.8,2,0.58,1
87.8,2,0.52,1
87.8,2,0.48,2
87.8,2,0.46,3
87.8,2,0.49,2
84.61,3,0.53,2
87.8,2,0.87,4
83.17,3,0.91,5
87.8,2,0.88,5
87.8,2,0.86,5
87.8,2,0.89,5
87.8,2,0.82,3
81.82,4,0.78,4
85.56,3,0.76,3
81.82,4,0.56,2
81.82,4,0.78,4
81.82,4,0.72,4
81.82,4,0.7,3
85.56,3,0.64,3
84.61,3,0.64,3
81.82,4,0.46,2
81.82,4,0.36,1
81.82,4,0.42,2
90.47,1,0.48,2
90.47,1,0.47,3
90.47,1,0.54,2
90.47,1,0.56,2
87.91,2,0.52,3
90.47,1,0.55,4
90.47,1,0.61,3
75.22,4,0.57,2
90.47,1,0.68,3
87.91,2,0.78,4
90.47,1,0.94,5
75.22,4,0.96,5
85.4,3,0.93,5
87.91,2,0.84,4
90.47,1,0.74,3
87.91,2,0.72,2
87.91,2,0.74,3
87.91,2,0.64,2
87.91,2,0.44,2
90.47,1,0.46,1
85.4,3,0.5,3
83.55,3,0.96,4
83.55,3,0.92,5
87.91,2,0.92,5
87.91,2,0.94,5
90.47,1,0.76,4
75.22,4,0.72,3
87.91,2,0.66,2
87.91,2,0.64,3
75.22,4,0.74,4
90.47,1,0.64,2
87.91,2,0.38,3
87.91,2,0.34,2
80.45,3,0.44,2
90.47,1,0.36,3
87.91,2,0.42,4
87.91,2,0.48,2
90.47,1,0.86,3
90.47,1,0.9,4
75.22,4,0.79,3
87.91,2,0.71,3
90.47,1,0.64,2
75.22,4,0.62,2
90.47,1,0.57,2
87.91,2,0.74,3
90.47,1,0.69,3
87.91,2,0.87,4
90.47,1,0.91,4
90.47,1,0.93,5
75.22,4,0.68,5
90.47,1,0.61,5
87.91,2,0.69,4
75.22,4,0.62,3
90.47,1,0.72,2
87.91,2,0.59,3
87.91,2,0.66,4
75.22,4,0.56,3
75.22,4,0.45,4
90.47,1,0.47,2
90.47,1,0.71,5
90.47,1,0.94,5
87.91,2,0.94,5
83.55,3,0.57,4
90.47,1,0.61,3
90.47,1,0.57,4
90.47,1,0.64,3
75.22,4,0.85,3
87.91,2,0.78,3
87.91,2,0.84,3
90.47,1,0.92,5
90.47,1,0.96,5
75.22,4,0.77,5
87.91,2,0.71,5
90.47,1,0.79,5
90.47,1,0.89,5
87.91,2,0.82,4
90.47,1,0.76,3
90.47,1,0.71,2
90.47,1,0.8,2
85.4,3,0.78,1
80.45,3,0.84,2
75.22,4,0.9,2
87.91,2,0.92,5
87.91,2,0.97,4
75.22,4,0.8,2
85.4,3,0.81,2
87.91,2,0.75,3
75.22,4,0.83,3
90.47,1,0.96,4
75.22,4,0.79,2
83.55,3,0.93,4
87.91,2,0.94,5
80.45,3,0.86,5
75.22,4,0.79,3
75.22,4,0.8,3
87.91,2,0.77,3
75.22,4,0.7,3
75.22,4,0.65,2
87.91,2,0.61,2
87.91,2,0.52,1
87.91,2,0.57,1
85.4,3,0.53,1
90.47,1,0.67,3
80.45,3,0.68,3
87.91,2,0.81,4
83.55,3,0.78,5
87.91,2,0.65,3
87.91,2,0.64,3
83.55,3,0.64,2
87.91,2,0.65,2
75.22,4,0.68,2
85.4,3,0.89,5
87.91,2,0.86,4
80.45,3,0.89,4
75.22,4,0.87,4
75.22,4,0.85,4
83.55,3,0.9,4
75.22,4,0.82,3
