department,Year,Round1,Round2,Round3,CET,Round1Number,Round2Number,Round3Number,class
1,2022,0.8995,0.8995,0.8995,89.95,89.95,89.95,89.95,1
1,2022,0.8989,0.8841,0.892,89.95,88.41,88.41,89.2,1
1,2022,0.8841,0.8834,0.8841,89.95,88.34,88.34,88.41,1
1,2022,0.8823,0.88,0.88,89.95,88,88,88,1
1,2022,0.8794,0.8773,0.8773,87.8,87.73,87.73,87.73,2
1,2022,0.8731,0.8718,0.8728,87.8,87.18,87.18,87.28,2
1,2022,0.8728,0.8691,0.8718,87.8,86.91,86.91,87.18,2
1,2022,0.8718,0.8621,0.8613,89.95,86.21,86.21,86.13,1
1,2022,0.868,0.8613,0.8611,89.95,86.13,86.13,86.11,1
1,2022,0.8673,0.8611,0.8606,89.95,86.11,86.11,86.06,1
1,2022,0.8656,0.8606,0.8583,87.8,86.06,86.06,85.83,2
1,2022,0.8634,0.8594,0.8582,87.8,85.94,85.94,85.82,2
1,2022,0.8625,0.8589,0.8566,87.8,85.89,85.89,85.66,2
1,2022,0.8613,0.8583,0.856,87.8,85.83,85.83,85.6,2
1,2022,0.8589,0.8549,0.8537,87.8,85.49,85.49,85.37,2
1,2022,0.8589,0.8549,0.8531,85.56,85.49,85.49,85.31,3
1,2022,0.8583,0.8545,0.8529,87.8,85.45,85.45,85.29,2
1,2022,0.8583,0.8543,0.8526,89.95,85.43,85.43,85.26,1
1,2022,0.8577,0.8537,0.8526,89.95,85.37,85.37,85.26,1
1,2022,0.8574,0.8531,0.852,89.95,85.31,85.31,85.2,1
1,2022,0.8566,0.8526,0.8514,85.56,85.26,85.26,85.14,3
1,2022,0.856,0.8526,0.8497,87.8,85.26,85.26,84.97,2
1,2022,0.856,0.852,0.8494,87.8,85.2,85.2,84.94,2
1,2022,0.856,0.8519,0.8491,87.8,85.19,85.19,84.91,2
1,2022,0.8559,0.8514,0.8491,89.95,85.14,85.14,84.91,1
1,2022,0.8554,0.8509,0.8488,87.8,85.09,85.09,84.88,2
1,2022,0.8549,0.8497,0.8481,89.95,84.97,84.97,84.81,1
1,2022,0.8549,0.8497,0.848,89.95,84.97,84.97,84.8,1
1,2022,0.8543,0.8491,0.8474,89.95,84.91,84.91,84.74,1
1,2022,0.8537,0.8491,0.8469,89.95,84.91,84.91,84.69,1
1,2022,0.8531,0.8488,0.8469,89.95,84.88,84.88,84.69,1
1,2022,0.8491,0.8486,0.8469,81.82,84.86,84.86,84.69,4
1,2022,0.8481,0.8481,0.8463,87.8,84.81,84.81,84.63,2
1,2022,0.8469,0.848,0.8451,87.8,84.8,84.8,84.51,2
1,2022,0.8469,0.8469,0.8446,84.61,84.69,84.69,84.46,3
1,2022,0.8463,0.8469,0.844,87.8,84.69,84.69,84.4,2
1,2022,0.8457,0.8469,0.844,87.8,84.69,84.69,84.4,2
1,2022,0.8451,0.8463,0.844,87.8,84.63,84.63,84.4,2
1,2022,0.844,0.8463,0.8434,87.8,84.63,84.63,84.34,2
1,2022,0.844,0.8458,0.8434,87.8,84.58,84.58,84.34,2
1,2022,0.8434,0.8457,0.8429,87.8,84.57,84.57,84.29,2
1,2022,0.8429,0.8446,0.8423,87.8,84.46,84.46,84.23,2
1,2022,0.8417,0.844,0.8423,84.61,84.4,84.4,84.23,3
1,2022,0.8411,0.844,0.8417,87.8,84.4,84.4,84.17,2
1,2022,0.8406,0.8434,0.8411,83.17,84.34,84.34,84.11,3
1,2022,0.84,0.8429,0.84,87.8,84.29,84.29,84,2
1,2022,0.8383,0.8417,0.84,87.8,84.17,84.17,84,2
1,2022,0.8383,0.8411,0.84,87.8,84.11,84.11,84,2
1,2022,0.8366,0.8406,0.8389,87.8,84.06,84.06,83.89,2
1,2022,0.8326,0.84,0.8383,81.82,84,84,83.83,4
1,2022,0.8303,0.84,0.8383,85.56,84,84,83.83,3
1,2022,0.8297,0.8383,0.8366,81.82,83.83,83.83,83.66,4
1,2022,0.8291,0.8383,0.8326,81.82,83.83,83.83,83.26,4
1,2022,0.8269,0.8366,0.8326,81.82,83.66,83.66,83.26,4
1,2022,0.8236,0.8326,0.8297,81.82,83.26,83.26,82.97,4
1,2022,0.8213,0.8326,0.8269,85.56,83.26,83.26,82.69,3
1,2022,0.8194,0.8269,0.8211,84.61,82.69,82.69,82.11,3
1,2022,0.8149,0.8213,0.8211,81.82,82.13,82.13,82.11,4
1,2022,0.8143,0.8211,0.8175,81.82,82.11,82.11,81.75,4
1,2022,0.8109,0.8211,0.8166,81.82,82.11,82.11,81.66,4
2,2022,0.8795,0.9174,0.9174,90.47,91.74,91.74,91.74,1
2,2022,0.8247,0.8795,0.8795,90.47,87.95,87.95,87.95,1
2,2022,0.8237,0.85,0.8095,90.47,85,85,80.95,1
2,2022,0.8179,0.8061,0.8061,90.47,80.61,80.61,80.61,1
2,2022,0.8168,0.8053,0.8053,87.91,80.53,80.53,80.53,2
2,2022,0.81,0.7981,0.7981,90.47,79.81,79.81,79.81,1
2,2022,0.8068,0.7979,0.7979,90.47,79.79,79.79,79.79,1
2,2022,0.8061,0.7968,0.7968,75.22,79.68,79.68,79.68,4
2,2022,0.8032,0.7947,0.7947,90.47,79.47,79.47,79.47,1
2,2022,0.8011,0.7942,0.7942,87.91,79.42,79.42,79.42,2
2,2022,0.7979,0.7905,0.7926,90.47,79.05,79.05,79.26,1
2,2022,0.7979,0.79,0.7905,75.22,79,79,79.05,4
2,2022,0.7947,0.7879,0.7863,85.4,78.79,78.79,78.63,3
2,2022,0.7942,0.7863,0.7832,87.91,78.63,78.63,78.32,2
2,2022,0.7942,0.7832,0.7821,90.47,78.32,78.32,78.21,1
2,2022,0.7937,0.7821,0.782,87.91,78.21,78.21,78.2,2
2,2022,0.7926,0.782,0.7816,87.91,78.2,78.2,78.16,2
2,2022,0.7926,0.7816,0.7816,87.91,78.16,78.16,78.16,2
2,2022,0.7905,0.7816,0.7784,87.91,78.16,78.16,77.84,2
2,2022,0.7868,0.7784,0.7779,90.47,77.84,77.84,77.79,1
2,2022,0.7837,0.7779,0.7721,85.4,77.79,77.79,77.21,3
2,2022,0.7832,0.7721,0.7711,83.55,77.21,77.21,77.11,3
2,2022,0.782,0.7711,0.7705,83.55,77.11,77.11,77.05,3
2,2022,0.7816,0.7705,0.77,87.91,77.05,77.05,77,2
2,2022,0.7816,0.7705,0.7689,87.91,77.05,77.05,76.89,2
2,2022,0.7811,0.77,0.7674,90.47,77,77,76.74,1
2,2022,0.7784,0.7689,0.7632,75.22,76.89,76.89,76.32,4
2,2022,0.7779,0.7674,0.7632,87.91,76.74,76.74,76.32,2
2,2022,0.7763,0.7632,0.7621,87.91,76.32,76.32,76.21,2
2,2022,0.7756,0.7632,0.7619,75.22,76.32,76.32,76.19,4
2,2022,0.7732,0.7621,0.7616,90.47,76.21,76.21,76.16,1
2,2022,0.7721,0.7619,0.7611,87.91,76.19,76.19,76.11,2
2,2022,0.7711,0.7616,0.7605,87.91,76.16,76.16,76.05,2
2,2022,0.7705,0.7611,0.7568,80.45,76.11,76.11,75.68,3
2,2022,0.77,0.7542,0.7568,90.47,75.42,75.42,75.68,1
2,2022,0.7689,0.7537,0.7542,87.91,75.37,75.37,75.42,2
2,2022,0.7684,0.7526,0.7526,87.91,75.26,75.26,75.26,2
2,2022,0.7674,0.7511,0.75,90.47,75.11,75.11,75,1
2,2022,0.7668,0.75,0.7497,90.47,75,75,74.97,1
2,2022,0.7647,0.7411,0.7416,75.22,74.11,74.11,74.16,4
2,2022,0.7642,0.7405,0.7411,87.91,74.05,74.05,74.11,2
2,2022,0.7632,0.7395,0.7405,90.47,73.95,73.95,74.05,1
2,2022,0.7632,0.7374,0.7395,75.22,73.74,73.74,73.95,4
2,2022,0.7621,0.7358,0.7374,90.47,73.58,73.58,73.74,1
2,2022,0.7619,0.7353,0.7358,87.91,73.53,73.53,73.58,2
2,2022,0.7616,0.7342,0.7342,90.47,73.42,73.42,73.42,1
2,2022,0.7605,0.733,0.7321,87.91,73.3,73.3,73.21,2
2,2022,0.7585,0.7321,0.7316,90.47,73.21,73.21,73.16,1
2,2022,0.7579,0.7316,0.7316,90.47,73.16,73.16,73.16,1
2,2022,0.7579,0.7316,0.7314,75.22,73.16,73.16,73.14,4
2,2022,0.7568,0.7314,0.73,90.47,73.14,73.14,73,1
2,2022,0.7563,0.7295,0.7295,87.91,72.95,72.95,72.95,2
2,2022,0.7563,0.7289,0.7289,75.22,72.89,72.89,72.89,4
2,2022,0.7552,0.7284,0.7284,90.47,72.84,72.84,72.84,1
2,2022,0.7542,0.7253,0.7253,87.91,72.53,72.53,72.53,2
2,2022,0.7537,0.7253,0.7237,87.91,72.53,72.53,72.37,2
2,2022,0.7526,0.7247,0.7221,75.22,72.47,72.47,72.21,4
2,2022,0.7521,0.7237,0.7211,75.22,72.37,72.37,72.11,4
2,2022,0.75,0.7237,0.7205,90.47,72.37,72.37,72.05,1
2,2022,0.75,0.7221,0.7189,90.47,72.21,72.21,71.89,1
2,2022,0.75,0.7218,0.7184,90.47,72.18,72.18,71.84,1
2,2022,0.75,0.7205,0.7174,87.91,72.05,72.05,71.74,2
2,2022,0.75,0.7189,0.7153,83.55,71.89,71.89,71.53,3
2,2022,0.7426,0.7184,0.7147,90.47,71.84,71.84,71.47,1
2,2022,0.7421,0.7153,0.7126,90.47,71.53,71.53,71.26,1
2,2022,0.7411,0.7147,0.7116,90.47,71.47,71.47,71.16,1
2,2022,0.7379,0.7147,0.71,75.22,71.47,71.47,71,4
2,2022,0.7363,0.7132,0.7074,87.91,71.32,71.32,70.74,2
2,2022,0.7358,0.7126,0.7063,87.91,71.26,71.26,70.63,2
2,2022,0.7353,0.7116,0.7032,90.47,71.16,71.16,70.32,1
2,2022,0.7353,0.71,0.7026,90.47,71,71,70.26,1
2,2022,0.7347,0.7074,0.7021,75.22,70.74,70.74,70.21,4
2,2022,0.7326,0.7032,0.7005,87.91,70.32,70.32,70.05,2
2,2022,0.7326,0.7026,0.6989,90.47,70.26,70.26,69.89,1
2,2022,0.7321,0.7021,0.6984,90.47,70.21,70.21,69.84,1
2,2022,0.7316,0.7005,0.6947,87.91,70.05,70.05,69.47,2
2,2022,0.7316,0.6984,0.6895,90.47,69.84,69.84,68.95,1
2,2022,0.7305,0.6947,0.6879,90.47,69.47,69.47,68.79,1
2,2022,0.7295,0.6895,0.6863,90.47,68.95,68.95,68.63,1
2,2022,0.7289,0.6879,0.6821,85.4,68.79,68.79,68.21,3
2,2022,0.7289,0.68,0.6742,80.45,68,68,67.42,3
2,2022,0.7284,0.6742,0.6738,75.22,67.42,67.42,67.38,4
2,2022,0.7268,0.6738,0.6711,87.91,67.38,67.38,67.11,2
2,2022,0.7258,0.6711,0.6626,87.91,67.11,67.11,66.26,2
2,2022,0.7253,0.6689,0.6563,75.22,66.89,66.89,65.63,4
2,2022,0.725,0.6626,0.6421,85.4,66.26,66.26,64.21,3
2,2022,0.7237,0.6621,0.6347,87.91,66.21,66.21,63.47,2
2,2022,0.7226,0.6421,0.634,75.22,64.21,64.21,63.4,4
2,2022,0.7221,0.6405,0.6069,90.47,64.05,64.05,60.69,1
2,2022,0.7205,0.6347,0.6053,75.22,63.47,63.47,60.53,4
2,2022,0.7189,0.634,0.7074,83.55,63.4,63.4,70.74,3
2,2022,0.7147,0.6097,0.7063,87.91,60.97,60.97,70.63,2
2,2022,0.7144,0.6053,0.7032,80.45,60.53,60.53,70.32,3
2,2022,0.7121,0.7074,0.7026,75.22,70.74,70.74,70.26,4
2,2022,0.7116,0.7032,0.7021,75.22,70.32,70.32,70.21,4
2,2022,0.7116,0.7026,0.7005,87.91,70.26,70.26,70.05,2
2,2022,0.7116,0.7021,0.6989,75.22,70.21,70.21,69.89,4
2,2022,0.7111,0.7005,0.6984,75.22,70.05,70.05,69.84,4
2,2022,0.71,0.6984,0.6947,87.91,69.84,69.84,69.47,2
2,2022,0.7032,0.6947,0.6895,87.91,69.47,69.47,68.95,2
2,2022,0.7026,0.6895,0.6879,87.91,68.95,68.95,68.79,2
2,2022,0.7026,0.6879,0.6863,85.4,68.79,68.79,68.63,3
2,2022,0.7021,0.68,0.6821,90.47,68,68,68.21,1
2,2022,0.6979,0.6742,0.6742,80.45,67.42,67.42,67.42,3
